Test_ID,Single_Valid_All_Keys,Single_Latency,Multi_Valid_All_Keys,Multi_Latency,Single_Raw,Multi_L1_Raw,Multi_L2_Raw
Task_041,True,10.77,True,13.47,"{""TTP_ID"": ""T1021"", ""Explanation"": ""DLL Injection via PSEXESVC (Windows Extensibility Utilities). The attacker is loading a malicious DLL into the context of another process using the Windows Extensibility Utility Service."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution permissions for non-standard processes, implement application whitelisting.""}","{""TTP_ID"": ""T1072"", ""Explanation"": ""Process Hide. The attacker is hiding a malicious process by renaming it to PSEXESVC, a legitimate system process.""}","{""Severity"": ""High"", ""Mitigation"": ""Enable defense mechanisms such as Windows Defender Application Guard or credential isolation.""}"
Task_042,True,8.64,True,16.08,"{""TTP_ID"": ""T1072.003"", ""Explanation"": ""A user attempted to add their account to the Domain Administrators group via Active Directory."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict least privilege access controls and monitor directory modifications.""}","{""TTP_ID"": ""T1069"", ""Explanation"": ""Account Exfiltration over Alternative Protocol. The attacker is using the net group command to add their account to the Domain Admins group, attempting to escalate privileges and maintain persistent access.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately revoke permissions for non-admin accounts; enable DRSR (Defense in Depth Security Ruleset); conduct a thorough credential audit.""}"
Task_043,True,8.87,True,13.22,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Domain Trust Discovery. The attacker is using nltest to discover domain trust relationships."", ""Severity"": ""High"", ""Mitigation"": ""Restrict network access for non-domain accounts and monitor NTLMASSP traffic.""}","{""TTP_ID"": ""T1037"", ""Explanation"": ""Domain Trust Discovery. The attacker is using nltest to enumerate domain trust relationships, identifying potential lateral movement targets.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement least privilege access controls and monitor Active Directory extensively for unauthorized queries.""}"
Task_044,True,9.06,True,14.08,"{""TTP_ID"": ""T1047"", ""Explanation"": ""BITSAdmin being abused to download an executable payload from a malicious C2 server."", ""Severity"": ""High"", ""Mitigation"": ""Disable BITSAdmin, restrict execution permissions for this process, and monitor network traffic.""}","{""TTP_ID"": ""T1046"", ""Explanation"": ""BITS Managed Transfers. The attacker is abusing the Background Intelligent Transfer Service (BITS) to download a malicious payload, attempting to bypass standard firewall filtering.""}","{""Severity"": ""High"", ""Mitigation"": ""Block inbound BITS traffic on non-standard ports or completely.""}"
Task_045,True,9.64,True,14.45,"{""TTP_ID"": ""T1569.004"", ""Explanation"": ""A malicious executable is executing the File and Directory Handler API (Fodhelper) process to hide its child processes."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution rights for non-system processes, implement application whitelisting.""}","{""TTP_ID"": ""T1569.004"", ""Explanation"": ""File and Directory Discovery. The attacker executed a script or executable that is known to be malicious, attempting to discover the file system structure of the compromised host.""}","{""Severity"": ""High"", ""Mitigation"": ""Quarantine affected processes and inspect network traffic for C:\temp\backdoor.exe communication.""}"
Task_046,True,9.87,True,15.92,"{""TTP_ID"": ""T1562.003"", ""Explanation"": ""Domain DNS Poisoning (OS). The attacker modified the Active Directory DNS records to redirect traffic to a malicious server."", ""Severity"": ""High"", ""Mitigation"": ""Implement least privilege access controls, monitor and audit DNS changes.""}","{""TTP_ID"": ""T1562.003"", ""Explanation"": ""Domain DNS Hijacking. The attacker modified Active Directory DNS settings to redirect traffic, likely attempting lateral movement or credential harvesting.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately restore original AD DSCOPY and NSD records from backups. Enforce least privilege access controls, monitor outbound DNS requests for anomalies.""}"
Task_047,True,9.76,True,14.73,"{""TTP_ID"": ""T1037"", ""Explanation"": ""Domain Name System (DNS) queries using external threat intelligence. The attacker is querying a domain known to be associated with malicious infrastructure."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict DNS filtering, apply whitelisting for allowed domains.""}","{""TTP_ID"": ""T1036"", ""Explanation"": ""Domain Name System (DNS) Enumeration. The attacker is querying a DNS subdomain to discover internal network resources.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement strict firewall rules to block outbound DNS queries, deploy DNS Security Extensions (DNSSEC), and conduct regular security awareness training.""}"
Task_048,True,10.36,True,13.94,"{""TTP_ID"": ""T1493"", ""Explanation"": ""File Modification. The attacker modified the file timestamps of a malicious executable to make it appear as an old, benign system file."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict file integrity monitoring using tools like Sysmon or Windows Defender System Guard.""}","{""TTP_ID"": ""T1464"", ""Explanation"": ""File Modification. The attacker modified the timestamps of a malicious executable to hide their modifications and maintain persistence.""}","{""Severity"": ""High"", ""Mitigation"": ""Quarantine affected files, investigate system logs for additional indicators of compromise, update antivirus signatures.""}"
Task_049,True,9.75,True,15.87,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Keylogging via PowerShell. A script running in memory is using the Windows Forms API to capture keystrokes."", ""Severity"": ""High"", ""Mitigation"": ""Block known malicious processes, apply application whitelisting, enable PIN protection on smart cards.""}","{""TTP_ID"": ""T1562"", ""Explanation"": ""Keylogging. A background process is running PowerShell with a tight loop, using the SendKeys method to capture keystrokes and potentially transmit them over an unsecured network.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately terminate the process. Conduct a thorough system scan with updated antivirus software. Implement application whitelisting and monitor outbound network traffic for anomalies.""}"
Task_050,True,9.7,True,11.08,"{""TTP_ID"": ""T1021"", ""Explanation"": ""DCOM Remotely Executed Code Proxy Execution. The WinRM service is being abused via DCOM to execute malicious scripts remotely."", ""Severity"": ""High"", ""Mitigation"": ""Disable or restrict outbound access to the WinRM service.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Routine Windows Remote Procedure Call (RPC) service executing.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_051,True,10.51,True,12.42,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Domain Admin Backdoor. The IT Administrator launched the Active Directory Domain Services console using the run command, suggesting privilege escalation or lateral movement."", ""Severity"": ""High"", ""Mitigation"": ""Implement principle of least privilege (PoLP). Audit domain controller access logs and apply strict firewall rules.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""IT Administrator launching the Active Directory Domestic System Administrator console.""}","{""Severity"": ""Low"", ""Mitigation"": ""None (Benign). This is a standard administrative action.""}"
Task_052,True,9.83,True,11.78,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Windows Update Squatting. A process named TiWorker.exe is executing system privileges, commonly associated with the TrickBot malware."", ""Severity"": ""High"", ""Mitigation"": ""Quarantine affected systems. Scan for additional malicious artifacts.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Windows Trusted Installer executing a routine update or installation process.""}","{""Severity"": ""Low"", ""Mitigation"": ""This is benign behavior. No action required.""}"
